Time (s), Cell Name, Value
27.03, C45,0.14
27.13, C27,0.12
27.13, C32,0.1
27.13, C37,0.15
27.13, C40,0.23
27.13, C41,0.33
27.23, C5,0.17
27.23, C13,0.13
27.23, C22,0.1
27.23, C34,0.15
27.23, C40,0.46
27.23, C41,0.16
27.33, C24,0.15
27.33, C28,0.12
27.33, C34,0.13
27.33, C41,0.18
27.43, C9,0.14
27.43, C12,0.1
27.43, C17,0.12
27.43, C33,0.6
27.53, C24,0.24
27.53, C28,0.19
27.53, C33,1.0
27.53, C41,0.11
27.63, C33,0.56
27.63, C40,0.27
27.63, C43,0.12
27.73, C21,0.14
27.73, C27,0.19
27.73, C34,0.7
27.73, C43,0.24
27.83, C10,0.18
27.83, C13,0.17
27.83, C21,0.1
27.83, C27,0.11
27.83, C40,0.24
27.93, C2,0.12
27.93, C24,0.16
27.93, C40,0.24
27.93, C41,0.38
27.93, C43,0.12
28.03, C21,0.2
28.03, C40,0.16
28.03, C41,0.68
28.13, C13,0.11
28.13, C40,0.36
28.13, C54,0.15
28.23, C61,0.16
28.33, C13,0.2
28.33, C19,0.12
28.33, C21,0.19
28.33, C25,0.13
28.33, C26,0.23
28.33, C40,0.12
28.33, C41,0.13
28.33, C45,0.1
28.33, C54,0.1
28.43, C13,0.15
28.43, C41,0.14
28.43, C45,0.12
28.53, C22,0.16
28.53, C49,0.15
28.63, C17,0.13
28.63, C20,0.1
28.73, C2,0.14
28.73, C40,0.66
28.73, C45,0.15
28.83, C13,0.14
28.83, C21,0.29
28.83, C24,0.23
28.83, C35,0.12
28.83, C43,0.15
28.83, C50,0.1
28.93, C2,0.4
28.93, C13,0.12
28.93, C19,0.11
28.93, C28,0.11
28.93, C40,0.16
28.93, C43,0.13
28.93, C53,0.27
29.03, C13,0.22
29.03, C43,0.46
29.03, C53,0.72
29.13, C0,0.15
29.13, C19,0.17
29.13, C28,0.15
29.13, C40,0.58
29.13, C43,0.16
29.13, C53,0.85
29.24, C1,0.12
29.24, C12,0.11
29.24, C17,0.14
29.24, C33,0.19
29.24, C47,0.12
29.24, C53,0.32
29.34, C19,0.11
29.34, C26,0.16
29.34, C33,0.27
29.34, C40,0.21
29.34, C61,0.13
29.44, C33,0.27
29.44, C54,0.2
29.44, C61,0.16
29.54, C9,0.19
29.54, C13,0.33
29.54, C19,0.23
29.54, C27,0.2
29.54, C47,0.52
29.54, C53,0.6
29.64, C10,0.11
29.64, C21,0.17
29.64, C34,0.13
29.64, C47,0.53
29.64, C53,0.84
29.74, C6,0.14
29.74, C21,0.11
29.74, C24,0.23
29.74, C32,0.15
29.74, C33,0.77
29.74, C40,0.64
29.74, C54,0.1
29.84, C9,0.19
29.84, C33,0.61
29.94, C34,0.4
29.94, C54,0.31
30.04, C25,0.12
30.04, C40,0.44
30.14, C1,0.14
30.14, C5,0.18
30.14, C40,0.26
30.14, C54,0.31
30.24, C1,0.23
30.24, C10,0.11
30.24, C54,0.73
30.34, C0,0.44
30.34, C1,0.66
30.34, C49,0.13
30.34, C54,0.26
30.44, C0,0.92
30.44, C54,0.27
30.44, C56,0.1
30.54, C0,0.4
30.54, C1,0.49
30.54, C40,0.22
30.54, C54,0.91
30.64, C0,0.72
30.64, C1,0.49
30.64, C5,0.13
30.64, C12,0.13
30.64, C15,0.14
30.64, C21,0.15
30.64, C54,0.22
30.74, C1,0.16
30.74, C27,0.19
